PriceRK;Income
21,53;4739,675
21,71;4826,25
22,03;4912,825
22;4999,4
21,67;5085,975
21,3;5172,55
21,41;5259,125
21,06;5345,7
20,53;5432,275
19,04;5518,85
18,21;5605,425
18,57;5692
19,36;5795,591667
19,35;5899,183333
19,34;6002,775
19,45;6106,366667
19,59;6209,958333
19,68;6313,55
21,16;6417,141667
22,07;6520,733333
21,94;6624,325
22,13;6727,916667
20,9;6831,508333
20,31;6935,1
20,07;7084,7
19,92;7234,3
20,05;7383,9
20,16;7533,5
20,21;7683,1
20,42;7832,7
21,1;7982,3
21,55;8131,9
21,1;8281,5
20,8;8431,1
20,58;8580,7
20,46;8730,3
22,65;8894,225
27,73;9058,15
31,28;9222,075
29,03;9386
27,99;9549,925
26,78;9713,85
29,12;9877,775
29,79;10041,7
29,23;10205,625
27,12;10369,55
24,02;10533,475
23,59;10697,4
23,5;10917,79167
23,35;11138,18333
22,87;11358,575
22,01;11578,96667
21,84;11799,35833
21,7;12019,75
21,8;12240,14167
23,85;12460,53333
23,27;12680,925
22,5;12901,31667
22,95;13121,70833
22,72;13342,1
22,85;13638
23,87;13933,9
24,39;14229,8
24,36;14525,7
25,46;14821,6
26,47;15117,5
25,84;15413,4
25,84;15709,3
25,97;16005,2
25,26;16301,1
24,22;16597
23;16892,9
26,48;17017,99167
28,71;17143,08333
30,18;17268,175
30,1;17393,26667
29,65;17518,35833
29,72;17643,45
29,89;17768,54167
32,16;17893,63333
35;18018,725
33,36;18143,81667
33,22;18268,90833
32,97;18394
36,61;18532,5
37,75;18671
37,08;18809,5
34,59;18948
33,09;19086,5
32,21;19225
34,15;19363,5
36,62;19502
39,52;19640,5
39,74;19779
40,58;19917,5
41,94;20056
30,92;20232,49167
47,48;20408,98333
45,88;20585,475
42,29;20761,96667
41,76;20938,45833
39,8;21114,95
40,22;21291,44167
40,26;21467,93333
35,2;21644,425
32,49;21820,91667
30,92;21997,40833
30,82;22173,9
30,3;22392,39167
31,79;22610,88333
33,2;22829,375
34,16;23047,86667
33,81;23266,35833
33,45;23484,85
34,25;23703,34167
36,03;23921,83333
33,52;24140,325
32,42;24358,81667
32,23;24577,30833
32,64;24795,8
