Price,Income,Distance,Shirota,Fed,Population
14.37,3468.316667,9170,43,dfo,1828
15.4,4139.083333,440,56,pfo,3159
15.47,3549.1,9170,43,dfo,1828
15.56,4463.8,9170,43,dfo,1828
15.78,3739.1,9170,43,dfo,1828
15.91,3615.058333,9170,43,dfo,1828
16.04,3387.533333,9170,43,dfo,1828
16.06,3681.016667,9170,43,dfo,1828
16.28,4072.266667,440,56,pfo,3159
16.39,3746.975,9170,43,dfo,1828
16.39,3806.1,9170,43,dfo,1828
16.47,3672.1,9170,43,dfo,1828
16.64,3888.716667,9170,43,dfo,1828
16.69,3971.333333,9170,43,dfo,1828
16.7,4397.6,9170,43,dfo,1828
16.79,6136.691667,9170,43,dfo,1828
16.79,4053.95,9170,43,dfo,1828
16.87,4530,9170,43,dfo,1828
16.87,4136.566667,9170,43,dfo,1828
16.91,3812.933333,9170,43,dfo,1828
16.93,4683.8,9170,43,dfo,1828
16.96,4606.9,9170,43,dfo,1828
16.98,3306.75,9170,43,dfo,1828
17.04,3878.891667,9170,43,dfo,1828
17.04,4514.2,9170,43,dfo,1828
17.11,3977.458333,9170,43,dfo,1828
17.12,4219.183333,9170,43,dfo,1828
17.14,4760.7,9170,43,dfo,1828
17.15,3944.85,9170,43,dfo,1828
17.15,4427.4,9170,43,dfo,1828
17.25,7067.8,9170,43,dfo,1828
17.26,4837.6,9170,43,dfo,1828
17.27,4205.9,440,56,pfo,3159
17.28,4914.5,9170,43,dfo,1828
17.31,4005.45,440,56,pfo,3159
17.32,4991.4,9170,43,dfo,1828
17.32,4301.8,9170,43,dfo,1828
17.33,4601,9170,43,dfo,1828
17.36,5575.125,440,56,pfo,3159
17.39,6933.216667,9170,43,dfo,1828
17.4,4331.4,9170,43,dfo,1828
17.41,6320.45,440,56,pfo,3159
17.41,4340.6,9170,43,dfo,1828
17.41,3605.1,9170,43,dfo,1828
17.42,4033.1,9170,43,dfo,1828
17.45,3758.5,9170,43,dfo,1828
17.48,4293.383333,440,56,pfo,3159
17.48,5362.175,440,56,pfo,3159
17.48,3455.966667,9170,43,dfo,1828
17.49,4380.866667,440,56,pfo,3159
17.49,5468.65,440,56,pfo,3159
17.5,4988.7,9170,43,dfo,1828
17.52,6426.925,440,56,pfo,3159
17.53,6798.633333,9170,43,dfo,1828
17.53,5387.883333,9170,43,dfo,1828
17.54,6533.4,440,56,pfo,3159
17.55,3676.4,9170,43,dfo,1828
17.57,6030.783333,9170,43,dfo,1828
17.58,5721.966667,9170,43,dfo,1828
17.58,4797.5,9170,43,dfo,1828
17.58,4893.1,9170,43,dfo,1828
17.59,5452.8,9170,43,dfo,1828
17.6,6242.6,9170,43,dfo,1828
17.61,5587.383333,9170,43,dfo,1828
17.62,4274.641667,9170,43,dfo,1828
17.63,3512.2,9170,43,dfo,1828
17.65,6213.975,440,56,pfo,3159
17.65,5991.133333,9170,43,dfo,1828
17.65,5084.3,9170,43,dfo,1828
17.66,4687.8,9170,43,dfo,1828
17.66,4126.616667,9170,43,dfo,1828
17.67,4714.883333,9170,43,dfo,1828
17.68,4730.8,440,56,pfo,3159
17.68,5255.7,440,56,pfo,3159
17.69,5681.6,440,56,pfo,3159
17.69,5856.55,9170,43,dfo,1828
17.7,4774.6,9170,43,dfo,1828
17.71,3225.966667,9170,43,dfo,1828
